"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login tests","Test Case #06","0","0","1","0","0"
"","Login tests","Test Case #16","0","0","1","0","0"
"","Login tests","Test Case #04","0","0","1","0","0"
"","Login tests","Test Case #10","0","0","1","0","0"
"","Login tests","Test Case #02","0","0","1","0","0"
"","Login tests","Test Case #19","0","0","1","0","0"
"","Login tests","Test Case #12","0","0","1","0","0"
"","Login tests","Test Case #01","1","0","0","0","0"
"","","","0","0","2","0","0"
"","Login tests","Test Case #20","0","0","1","0","0"
"","Login tests","Test Case #09","0","0","1","0","0"
"","Login tests","Test Case #13","0","0","1","0","0"
"","Login tests","Test Case #14","0","0","1","0","0"
"","Login tests","Test Case #08","1","0","0","0","0"
"","Login tests","Test Case #03","0","0","1","0","0"
"","Login tests","Test Case #07","0","0","1","0","0"
"","Login tests","Test Case #15","0","0","1","0","0"
"","Login tests","Test Case #18","0","0","1","0","0"
"","Login tests","Test Case #17","0","0","1","0","0"
"","Login tests","Test Case #05","0","0","1","0","0"
"","Login tests","Test Case #11","0","0","1","0","0"
